TOA5	Tower3	CR1000	67786	CR1000.Std.27.04	CPU:106330-3.CR1	38136	ThreeHr
TIMESTAMP	RECORD	TotPrec					
TS	RN						
		Tot					
5/30/15 21:00	801	0					
40693	802	0					
5/31/15 3:00	803	0					
5/31/15 6:00	804	0					
5/31/15 9:00	805	0					
5/31/15 12:00	806	0					
5/31/15 15:00	807	0					
5/31/15 18:00	808	0					
5/31/15 21:00	809	0					
40694	810	0					
6/1/15 3:00	811	0					
6/1/15 6:00	812	0					
6/1/15 9:00	813	0					
6/1/15 12:00	814	0					
6/1/15 15:00	815	0					
6/1/15 18:00	816	0					
6/1/15 21:00	817	0					
40695	818	0					
6/2/15 3:00	819	0					
6/2/15 6:00	820	0					
6/2/15 9:00	821	0					
6/2/15 12:00	822	0					
6/2/15 15:00	823	0					
6/2/15 18:00	824	0					
6/2/15 21:00	825	0					
40696	826	0					
6/3/15 3:00	827	0					
6/3/15 6:00	828	0					
6/3/15 9:00	829	0					
6/3/15 12:00	830	0					
6/3/15 15:00	831	0					
6/3/15 18:00	832	0					
6/3/15 21:00	833	0					
40697	834	0					
6/4/15 3:00	835	0					
6/4/15 6:00	836	0					
6/4/15 9:00	837	0					
6/4/15 12:00	838	0					
6/4/15 15:00	839	0					
6/4/15 18:00	840	0					
6/4/15 21:00	841	0					
40698	842	0					
6/5/15 3:00	843	0					
6/5/15 6:00	844	0					
6/5/15 9:00	845	0					
6/5/15 12:00	846	0					
6/5/15 15:00	847	0					
6/5/15 18:00	848	0					
6/5/15 21:00	849	0					
40699	850	0					
6/6/15 3:00	851	0					
6/6/15 6:00	852	0					
6/6/15 9:00	853	0					
6/6/15 12:00	854	0					
6/6/15 15:00	855	0					
6/6/15 18:00	856	0					
6/6/15 21:00	857	0					
40700	858	0					
6/7/15 3:00	859	0					
6/7/15 6:00	860	0					
6/7/15 9:00	861	0					
6/7/15 12:00	862	0					
6/7/15 15:00	863	0					
6/7/15 18:00	864	0					
6/7/15 21:00	865	0					
40701	866	0					
6/8/15 3:00	867	0					
6/8/15 6:00	868	0					
6/8/15 9:00	869	0					
6/8/15 12:00	870	0					
6/8/15 15:00	871	0					
6/8/15 18:00	872	0					
6/8/15 21:00	873	0					
40702	874	0					
6/9/15 3:00	875	0					
6/9/15 6:00	876	0					
6/9/15 9:00	877	0					
6/9/15 12:00	878	0					
6/9/15 15:00	879	0					
6/9/15 18:00	880	0					
6/9/15 21:00	881	0					
40703	882	0					
6/10/15 3:00	883	0					
6/10/15 6:00	884	0					
6/10/15 9:00	885	0					
6/10/15 12:00	886	0					
6/10/15 15:00	887	0					
6/10/15 18:00	888	0					
6/10/15 21:00	889	0					
40704	890	0					
6/11/15 3:00	891	0					
6/11/15 6:00	892	0					
6/11/15 9:00	893	0					
6/11/15 12:00	894	0					
6/11/15 15:00	895	0					
6/11/15 18:00	896	0					
6/11/15 21:00	897	0					
40705	898	0					
6/12/15 3:00	899	0					
6/12/15 6:00	900	0					
6/12/15 9:00	901	0					
6/12/15 12:00	902	0					
6/12/15 15:00	903	0					
6/12/15 18:00	904	0					
6/12/15 21:00	905	0					
40706	906	0					
6/13/15 3:00	907	0					
6/13/15 6:00	908	0					
6/13/15 9:00	909	0					
6/13/15 12:00	910	0					
6/13/15 15:00	911	0					
6/13/15 18:00	912	0					
6/13/15 21:00	913	0					
40707	914	0					
6/14/15 3:00	915	0					
6/14/15 6:00	916	0					
6/14/15 9:00	917	0					
6/14/15 12:00	918	0					
6/14/15 15:00	919	0					
6/14/15 18:00	920	0					
6/14/15 21:00	921	0					
40708	922	0					
6/15/15 3:00	923	0					
6/15/15 6:00	924	0					
6/15/15 9:00	925	0					
6/15/15 12:00	926	0					
6/15/15 15:00	927	0					
6/15/15 18:00	928	0					
6/15/15 21:00	929	0					
40709	930	0					
6/16/15 3:00	931	0					
6/16/15 6:00	932	0					
6/16/15 9:00	933	0					
6/16/15 12:00	934	0					
6/16/15 15:00	935	0					
6/16/15 18:00	936	0					
6/16/15 21:00	937	0					
40710	938	0					
6/17/15 3:00	939	0					
6/17/15 6:00	940	0					
6/17/15 9:00	941	0					
6/17/15 12:00	942	0					
6/17/15 15:00	943	0					
6/17/15 18:00	944	0					
6/17/15 21:00	945	0					
40711	946	0					
6/18/15 3:00	947	0					
6/18/15 6:00	948	0					
6/18/15 9:00	949	0					
